"inst_id","sido","sgg","openDate","bedCount","instkind","revenue1","salescost1","sga1","salary1","noi1","noe1","interest1","ctax1","profit1","liquidAsset1","quickAsset1","receivableS1","inventoryAsset1","nonCAsset1","tanAsset1","OnonCAsset1","receivableL1","debt1","liquidLiabilities1","shortLoan1","NCLiabilities1","longLoan1","netAsset1","surplus1","revenue2","salescost2","sga2","salary2","noi2","noe2","interest2","ctax2","profit2","liquidAsset2","quickAsset2","receivableS2","inventoryAsset2","nonCAsset2","tanAsset2","OnonCAsset2","receivableL2","debt2","liquidLiabilities2","shortLoan2","NCLiabilities2","longLoan2","netAsset2","surplus2","employee1","employee2","ownerChange","year","difyea","employee_mean","size","inst_id","dif1","dif2","dif3","dif4","dif5","dif6","dif7","dif8","dif9","dif10","dif11","dif12","dif13","dif14","dif15","dif16","dif17","dif18","dif19","dif20","dif21","dif22","dif23","dif24"
1,"choongnam",73,20071228,175,6,4217530010,0,3961134739,2033835290,15652441,15236236,13236236,31641798,225169678,1012699685,997671878,470055740,15027807,2514586477,2360683543,143449600,0,682825991,201323700,0,481502291,3.51e+08,2844460171,1496394171,4297848250,0,4057421812,2063787360,16194675,29983354,15683046,18808074,207829685,830169459,816570489,523702570,13598970,2548114776,2386262842,145898600,0,758993742,222876855,0,536116887,3.9e+08,2619290493,1271224493,62,64,"same","2007",10,63,238,1,-80318240,0,-96287073,-29952070,-542234,-14747118,-2446810,12833724,17339993,182530226,181101389,-53646830,1428837,-33528299,-25579299,-2449000,0,-76167751,-21553155,0,-54614596,-3.9e+07,225169678,225169678
4,"gyeonggi",89,20161228,468,6,1004521989,515483669,447219722,296402310,76156,30000,0,0,41864754,272442138,253682170,8095950,18759968,120481028,120481028,0,0,92414342,92414342,0,0,0,300508824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,"same","2016",1,117.5,585.5,2,1004521989,515483669,447219722,296402310,76156,30000,0,0,41864754,272442138,253682170,8095950,18759968,120481028,120481028,0,0,92414342,92414342,0,0,0,300508824,0
7,"incheon",141,20000814,353,4,72507342181,0,70677397660,31786048663,506223059,1259567512,1196881219,173769780,902830288,13041543085,11534749645,0,1506793440,43179356963,38320784344,3945208068,0,42363797762,27991880794,19885197610,14371916968,7253039927,13857102286,8643659325,66858336474,0,64924192738,29711345895,476807804,1353672354,1277421934,218891720,838387466,11125720580,9890539620,0,1235180960,39583561930,34855762555,3915906050,0,37755010512,17018596586,9219427379,20736413926,1.51e+10,12954271998,7740829037,663,663,"same","2000",17,663,1016,3,5649005707,0,5753204922,2074702768,29415255,-94104842,-80540715,-45121940,64442822,1915822505,1644210025,0,271612480,3595795033,3465021789,29302018,0,4608787250,10973284208,10665770231,-6364496958,-7846960073,902830288,902830288
9,"gyeongnam",32,20050901,196,4,49043538016,0,47656051197,24460782270,112352259,1419089382,1307248652,0,80749696,6317084032,5873265455,4099320115,443818577,43667333124,43306130668,222340000,0,49898105519,28909188091,17930375498,20988917428,1.35e+10,86311637,9025549604,48082801047,0,47125798583,23460042760,597748128,1522108007,1349850967,0,32642585,4906776494,4464017363,3365226859,442759131,46531378337,45629447727,789340700,0,51432592890,30072585842,17593752360,21360007048,14108027465,5561941,9025549604,206,197,"same","2005",12,201.5,397.5,4,960736969,0,530252614,1000739510,-485395869,-103018625,-42602315,0,48107111,1410307538,1409248092,734093256,1059446,-2864045213,-2323317059,-567000700,0,-1534487371,-1163397751,336623138,-371089620,-608027465,80749696,0
11,"gyeongnam",155,20020501,243,4,33580536703,9222996930,23727912054,16655333342,65414325,741269419,336462245,0,-46227375,5635104883,5481680248,663481970,153424635,18649703167,18499383217,136458178,0,0,18499383217,17180526895,0,0,0,3664918487,34334446461,9839138947,24096219735,16387922648,125681154,450082979,415510430,0,74685954,4869419176,4725857392,197616292,143561784,22127146425,21861133888,191046000,0,0,21861133888,17087136895,2e+07,0,0,5879003604,397,390,"same","2002",15,393.5,636.5,5,-753909758,-616142017,-368307681,267410694,-60266829,291186440,-79048185,0,-120913329,765685707,755822856,465865678,9862851,-3477443258,-3361750671,-54587822,0,0,-3361750671,93390000,-2e+07,0,0,-2214085117
14,"gyeonggi",169,19820702,213,4,22552179836,4449958166,16573328452,11073956461,305646045,970008848,940942802,0,864530415,11407504260,11236305651,143205215,171198609,27132228446,26616290889,469765334,0,24122304855,20349004855,15196930457,3773300000,3723300000,14417427851,9158248178,21434845638,4764838783,15312354230,10058001840,222584686,1020650883,911835003,76939368,482647060,11046411958,10972287154,86488264,74124804,27483909662,26979159021,490138884,0,19642026834,13292026834,12155602473,6.35e+09,6.23e+09,18888294786,9174282922,221,246,"same","1982",35,233.5,446.5,6,1117334198,-314880617,1260974222,1015954621,83061359,-50642035,29107799,-76939368,381883355,361092302,264018497,56716951,97073805,-351681216,-362868132,-20373550,0,4480278021,7056978021,3041327984,-2576700000,-2506700000,-4470866935,-16034744
15,"busan",66,19871102,250,4,64359169160,20758010719,40882537264,26822603567,1426186507,3166922895,465983760,524566650,453318139,12756514354,11879215739,5958385250,877298615,38592616814,37877928790,36128430,0,46886016081,25563222472,1.3e+10,21322793609,999960000,4463115087,0,59496434242,19582573685,39444542463,25412225815,1795756725,921095477,464175034,212053194,1131926148,8681980599,7819093269,4923685446,862887330,41520702016,40661470673,12828430,0,35984818131,11219645317,0,24765172814,1.6e+10,14217864484,9177282701,489,489,"same","1987",30,489,739,7,4862734918,1175437034,1437994801,1410377752,-369570218,2245827418,1808726,312513456,-678608009,4074533755,4060122470,1034699804,14411285,-2928085202,-2783541883,23300000,0,10901197950,14343577155,1.3e+10,-3442379205,-15000040000,-9754749397,-9177282701
16,"jeonnam",91,20060922,280,6,12748392940,328697683,11076189315,7155936637,261621144,579079483,167471911,252452530,773595073,4134272657,4119094934,0,15177723,11669322694,11559128195,86400000,0,0,11559128195,12796517802,21180790,0,0,0,12824600350,349818513,11009876668,6897659978,65921217,828281912,214660216,152558590,549985884,3117104642,3088202557,0,22561176,13226646330,13113246330,113400000,0,0,13113246330,12664417803,41962676,0,0,0,243,243,"same","2006",11,243,523,8,-76207410,-21120830,66312647,258276659,195699927,-249202429,-47188305,99893940,223609189,1017168015,1030892377,0,-7383453,-1557323636,-1554118135,-2.7e+07,0,0,-1554118135,132099999,-20781886,0,0,0
17,"seoul",4,20000124,55,4,41406077905,6624671265,35120182720,19796589281,708476429,1000118143,448540747,53741720,-684159514,4539942834,3924282684,2956588623,615660150,45720311419,43439124409,0,0,30534327153,16654601334,12459978161,13879725819,2270940000,19725927100,9070300542,45981429984,7388793662,35548982698,20041758990,242351132,2754695628,550892507,145281135,386027993,4042217543,3481758734,2321736474,560458809,51109037966,48345356976,0,0,34906729636,19675893406,16365396427,15230836230,3.4e+09,20244525873,9554580715,370,382,"same","2000",17,376,431,9,-4575352079,-764122397,-428799978,-245169709,466125297,-1754577485,-102351760,-91539415,-1070187507,497725291,442523950,634852149,55201341,-5388726547,-4906232567,0,0,-4372402483,-3021292072,-3905418266,-1351110411,-1129060000,-518598773,-484280173
18,"gyeonggi",92,20080219,250,4,49669173562,8844036521,38845605937,22985012106,423613410,2034357679,1462729706,11840547,356946288,11434839492,11172140366,142664146,262699126,60683376120,59661914864,443318000,0,52901576100,24429396302,12141126926,28472179798,21888979343,19216639512,0,46490012947,7983493712,36824359713,22830679846,345108885,1761107312,1354864487,22444073,243717022,12837772927,10479138744,122741918,340508004,51519559632,49558158555,270580000,0,51306502698,27458050798,15148977633,23848451900,19445067960,13050829861,0,53,53,"same","2008",9,53,303,10,3179160615,860542809,2021246224,154332260,78504525,273250367,107865219,-10603526,113229266,-1402933435,693001622,19922228,-77808878,9163816488,10103756309,172738000,0,1595073402,-3028654496,-3007850707,4623727898,2443911383,6165809651,0
19,"jeonbuk",136,20130605,656,6,14819927146,0,14334987909,7603418730,272732334,310062763,276768409,252052728,195556080,3921154973,3921154973,674724910,0,15603076318,14932646145,343140000,0,12992587296,12987587296,1.2e+10,5e+06,0,6531643995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,250,"same","2013",4,273.5,929.5,11,14819927146,0,14334987909,7603418730,272732334,310062763,276768409,252052728,195556080,3921154973,3921154973,674724910,0,15603076318,14932646145,343140000,0,12992587296,12987587296,1.2e+10,5e+06,0,6531643995,0
22,"choongbuk",108,20080909,123,6,2998495883,138568532,2485503499,1398272118,75589,372743761,361970741,0,1755680,1268057892,1208023892,602250084,60034000,21905275891,21689996998,215278893,0,15217907306,12362778576,11155299923,2855128730,2363789509,7955426477,0,2893263699,149158043,2452306908,1262933338,182,207128691,207128691,0,84670239,915012635,904732635,267837420,10280000,22518784420,22028897980,249886440,0,12910033559,2748070748,1392354000,10161962811,10152797519,10523763496,0,54,54,"change","2008",9,54,177,12,105232184,-10589511,33196591,135338780,75407,165615070,154842050,0,-82914559,353045257,303291257,334412664,49754000,-613508529,-338900982,-34607547,0,2307873747,9614707828,9762945923,-7306834081,-7789008010,-2568337019,0
25,"incheon",140,20080924,143,5,66977875101,0,65577844107,27833843744,225875258,2446763579,1324953766,0,-820857327,11265292426,9778297467,8593225247,1486994959,54168775909,49417225654,1967043763,0,57951971241,34959588443,10953178838,22992382798,1.36e+10,7482097094,0,63150222225,0,60434034997,25473400923,84993235,2336196225,1386481533,97081740,367902498,9277325453,7839075785,4344648051,1438249668,58361648331,50474603648,5023822600,0,57939482777,29351349870,11042242270,28588132907,25167015159,9699491007,0,209,209,"same","2008",9,209,352,13,3827652876,0,5143809110,2360442821,140882023,110567354,-61527767,-97081740,-1188759825,1987966973,1939221682,4248577196,48745291,-4192872422,-1057377994,-3056778837,0,12488464,5608238573,-89063432,-5595750109,-11567015159,-2217393913,0
27,"ulsan",127,19810622,526,4,1.24e+11,35743130029,91327949038,57788136980,1314452222,1570602979,896998857,137870752,-3753817012,19014833155,18872481981,15862433,142351174,56557453510,45434143230,10085168680,0,74703721975,39373879374,10348327418,35329842601,13094314767,868564690,0,1.06e+11,31538714184,77999052487,47801058040,1277650060,1509925077,765308352,614884390,-4064822885,19281545729,19221242286,32955720,60303443,57000532120,47710628640,8767966280,0,71659696147,36810665598,9353486462,34849030549,15362446837,4622381702,0,951,901,"same","1981",36,926,1452,14,1.8e+10,4204415845,13328896551,9987078940,36802162,60677902,131690505,-477013638,311005873,-266712574,-348760305,-17093287,82047731,-443078610,-2276485410,1317202400,0,3044025828,2563213776,994840956,480812052,-2268132070,-3753817012,0
33,"seoul",3,19820329,181,4,15690699439,0,15690319472,8142441296,511215199,2474767666,319704982,0,-1963172500,3712671845,3689155191,100333900,23516654,18108427179,16383766379,1666949800,0,18712566017,15422489774,8857822253,3290076243,0,3108533007,0,14686578410,0,14668636015,7776280840,279872271,696027827,325310528,0,-398213161,3863426882,3844125823,128808910,19301059,19362338743,17159650943,1652406800,0,18154060118,16534060118,9490786213,1.62e+09,0,5071705507,0,183,171,"change","1982",35,177,358,15,1004121029,0,1021683457,366160456,231342928,1778739839,-5605546,0,-1564959339,-150755037,-154970632,-28475010,4215595,-1253911564,-775884564,14543000,0,558505899,-1111570344,-632963960,1670076243,0,-1963172500,0
34,"incheon",138,20121231,243,4,38928596428,8449315118,28736229589,18880365145,237324276,1543529755,1042222917,39631614,397214628,22844745285,22361993468,4761274747,482751817,88445094022,85990066982,2422999400,0,52131881696,20477144584,8732077001,31654737112,26882166680,59157957611,922085940,36233792174,8510962520,26393288884,17523260061,228787705,1143289166,998216798,83505356,331533953,23422373579,22848488681,3615003389,573884898,75752871876,73224607110,2484777400,0,40414502472,18865481253,7790456042,21549021219,18226666672,58760742983,524871312,409,328,"change","2012",5,368.5,611.5,16,2694804254,-61647402,2342940705,1357105084,8536571,400240589,44006119,-43873742,65680675,-577628294,-486495213,1146271358,-91133081,12692222146,12765459872,-61778000,0,11717379224,1611663331,941620959,10105715893,8655500008,397214628,397214628
35,"daejeon",49,20120103,291,6,6857075503,316104702,6011691943,2849657910,26235813,513877434,88591452,61504280,-19867043,819400069,788366733,729715174,31033336,13166710760,13160549820,5e+06,0,0,13160549820,8692294160,0,0,0,724226716,4567259957,212190276,3785693521,1930829961,42542552,345057952,47183083,41105761,225754999,496786330,496786330,470735010,0,13600147868,13598599948,0,0,0,13598599948,8725664160,0,0,0,744093759,42,42,"same","2012",5,42,333,17,2289815546,103914426,2225998422,918827949,-16306739,168819482,41408369,20398519,-245622042,322613739,291580403,258980164,31033336,-433437108,-438050128,5e+06,0,0,-438050128,-33370000,0,0,0,-19867043
36,"seoul",77,19940622,195,4,22920991463,0,23161528038,10521716794,1619736486,1161622440,357708193,80621490,136955981,5808388270,5412264543,2150485227,396123727,16709736766,13949663315,2057226000,0,15436165283,13579003753,8642538015,1857161530,7e+08,7081959753,5011010300,21974122529,0,21464413685,9651965549,366705342,548014805,392175790,8673777,319725604,3358457091,2975159272,2000561307,383297819,15672943991,13110473001,2057226000,0,15646251824,14377648914,9404998933,1268602910,194350000,3385149258,0,194,194,"same","1994",23,194,389,18,946868934,0,1697114353,869751245,1253031144,613607635,-34467597,71947713,-182769623,2449931179,2437105271,149923920,12825908,1036792775,839190314,0,0,-210086541,-798645161,-762460918,588558620,505650000,3696810495,5011010300
37,"daegu",44,20050926,167,5,17096005437,1148889637,15517999341,8231830104,22507591,474517882,472039090,0,-22893832,2292087499,2225171415,72036,66916084,18698943512,15801073664,2897868848,0,16903461067,11346318961,8563500000,5557142106,555940000,4087569944,1008090000,17315410085,1178732835,15563504253,8291716125,14880783,509595759,475213502,46803310,31654711,3002564089,2931975475,0,70588614,18831922650,15742389396,3084533254,0,16210249656,10902809656,8249915828,5307440000,5287440000,5624237083,1008090000,355,358,"same","2005",12,356.5,523.5,19,-219404648,-29843198,-45504912,-59886021,7626808,-35077877,-3174412,-46803310,-54548543,-710476590,-706804060,72036,-3672530,-132979138,58684268,-186664406,0,693211411,443509305,313584172,249702106,-4731500000,-1536667139,0
38,"gyeonggi",96,20061013,346,4,67068990371,0,63496177471,29793955850,2592034969,5335543642,2841474870,324138415,505165812,19360618174,18244190311,183244162,1116427863,1.02e+11,96389173566,2114020000,0,86697249913,37895352593,8416499288,48801897320,41124897062,34804436455,10929718196,65706545267,0,60340378228,27928340890,2037275796,5641498192,2593366043,273203545,1488741098,18493075097,17642665447,206724822,850409650,1.01e+11,96234520243,776051000,0,85088583901,68468775764,12012999075,16619808137,9711297565,34650587619,11281035172,606,633,"change","2006",11,619.5,965.5,20,1362445104,0,3155799243,1865614960,554759173,-305954550,248108827,50934870,-983575286,867543077,601524864,-23480660,266018213,1e+09,154653323,1337969000,0,1608666012,-30573423171,-3596499787,32182089183,31413599497,153848836,-351316976
39,"seoul",119,19820421,48,5,9293955823,0,10980487018,5578216390,125260866,235115549,231104453,0,-1796385878,1500644005,1358172426,0,142471579,8642146868,8475546868,0,0,7907162972,7260543588,6257142374,646619384,0,2235627901,6019553199,10787185619,0,11651916411,6879270163,151972901,232810613,232600533,0,-945568504,1669906019,1562542144,0,107363875,8701061722,8534461722,0,0,7338953962,6135746287,5306693057,1203207675,0,3032013779,6019553199,117,135,"change","1982",35,126,174,21,-1493229796,0,-671429393,-1301053773,-26712035,2304936,-1496080,0,-850817374,-169262014,-204369718,0,35107704,-58914854,-58914854,0,0,568209010,1124797301,950449317,-556588291,0,-796385878,0
42,"daegu",43,20080128,252,5,13927661065,743799451,11624015409,7097650666,8217133,350522595,350522595,231296213,986244530,2615974636,2593840426,2515649444,22134210,21430590591,20987077212,462000,0,12098966480,10683568951,7729516293,1415397529,0,11947598747,0,11919221630,585579999,9874112423,5099015290,2668341,359155384,322794083,0,1103042165,2483380503,2455009853,1858141357,28370650,22580354975,22157948118,462000,0,11711993007,2709993007,1525239973,9e+09,8.9e+09,13351742471,0,164,164,"same","2008",9,164,416,22,2008439435,158219452,1749902986,1998635376,5548792,-8632789,27728512,231296213,-116797635,132594133,138830573,657508087,-6236440,-1149764384,-1170870906,0,0,386973473,7973575944,6204276320,-7584602471,-8.9e+09,-1404143724,0
44,"gyeongbuk",114,19961210,66,5,24074718560,6429351944,16603254922,11567304900,1508636487,2061558066,222096329,92501890,396688225,3683441982,3545415312,0,138026670,15044378768,14717396768,326982000,0,14812671115,11520604709,6825021917,3292066406,0,3915149635,0,23915748030,6161905349,16493932169,11226127320,1477795614,2292094710,262606431,87463140,358148276,3130415687,2994673619,0,135742068,15352993727,15105021727,247972000,0,14964948004,11922118304,7686834397,3042829700,0,3518461410,0,266,244,"same","1996",21,255,321,23,158970530,267446595,109322753,341177580,30840873,-230536644,-40510102,5038750,38539949,553026295,550741693,0,2284602,-308614959,-387624959,79010000,0,-152276889,-401513595,-861812480,249236706,0,396688225,0
45,"gyeongbuk",7,20040601,196,6,9096548420,0,8732286589,4287374108,33716293,286024540,268520208,18664150,93289434,1243335796,1146867994,0,82356623,9779431803,9635402159,32577000,0,10767212539,8132532886,6658527565,2634679653,1998560000,255555060,-744444940,8643688127,0,8261377198,3956761543,69718027,316058310,280889707,21299300,114671346,1074828099,1057855758,0,0,10907594943,10598250599,32577000,0,10538805841,1658360496,962739000,8880445345,8880445345,1443617201,443617201,156,153,"same","2004",13,154.5,350.5,24,452860293,0,470909391,330612565,-36001734,-30033770,-12369499,-2635150,-21381912,168507697,89012236,0,82356623,-1128163140,-962848440,0,0,228406698,6474172390,5695788565,-6245765692,-6881885345,-1188062141,-1188062141
47,"daegu",40,19971231,137,5,25388522198,5799018072,19474790132,12205737320,469549977,368301439,330071049,160871190,55091342,2332360925,2090377954,1254000,241982971,32782058193,32684163193,68895000,0,21839514233,12125402803,6408261456,9714111430,2596212250,13274904885,13752084380,22997709353,5452890556,18612496373,11874492700,501767174,636319450,400809600,0,-1202229852,2132311377,1923416004,1254000,208895373,20399628377,20113023377,233785000,0,23064210591,13824175225,8061963932,9240035366,2.62e+09,-532270837,0,243,224,"same","1997",20,233.5,370.5,25,2390812845,346127516,862293759,331244620,-32217197,-268018011,-70738551,160871190,1257321194,200049548,166961950,0,33087598,12382429816,12571139816,-164890000,0,-1224696358,-1698772422,-1653702476,474076064,-23787750,13807175722,13752084380
49,"gyeongbuk",172,20030318,63,5,14802668835,1462372502,12946015815,8418942090,75897969,350360910,322501564,9915370,109902207,894536014,653358359,0,241177655,21451059510,21318451510,132608000,0,16639679773,8751511234,6106319856,7888168539,6064390000,5705915751,4179247927,14336147847,1536435665,12463857309,8207703010,56514708,269317716,235996820,12277740,110774125,836277606,645431409,0,190846197,15151838824,14712130824,147608000,0,10392102886,6201936861,4538615543,4190166025,3533230000,5596013544,4069345720,148,140,"same","2003",14,144,207,26,466520988,-74063163,482158506,211239080,19383261,81043194,86504744,-2362370,-871918,58258408,7926950,0,50331458,6299220686,6606320686,-1.5e+07,0,6247576887,2549574373,1567704313,3698002514,2531160000,109902207,109902207
50,"gangwon",128,20010821,149,5,58201450435,8002571377,48778584637,21839686580,418567384,383067082,296607165,578397450,877397273,6707079632,6015740971,14538250,691338661,36060444883,33911264854,7.93e+08,0,32936293856,16022058091,6066075906,16914235765,5.94e+09,9831230659,26928,55675951519,6228445364,44832427518,19701272360,286410207,2878319088,471474568,192228400,1830941356,7762225881,7144963104,19370000,617262777,37587470374,35412478668,9.05e+08,0,37247076511,17806574974,8574163266,19440501537,8374475000,8102619744,26928,418,418,"same","2001",16,418,567,27,2525498916,1774126013,3946157119,2138414220,132157177,-2495252006,-174867403,386169050,-953544083,-1055146249,-1129222133,-4831750,74075884,-1527025491,-1501213814,-1.12e+08,0,-4310782655,-1784516883,-2508087360,-2526265772,-2434475000,1728610915,0
51,"seoul",23,20080225,406,6,16732825088,2568596158,12355081959,7040943933,40114330,375248502,343800103,299015472,1174997327,2852257400,2730376047,2531896852,121881353,37045300701,34814625429,0,0,31260502979,21212502979,5657072507,1e+10,8.7e+09,8637055122,0,17382142356,2550276626,12479346835,6825087415,93110393,1116843207,448027970,120091805,1208694276,2271917969,2074443425,1852879362,197474544,38429135816,35278135816,0,0,33326286400,22864286400,6143827922,1.05e+10,9.3e+09,7374767385,0,249,253,"same","2008",9,251,657,28,-649317268,18319532,-124264876,215856518,-52996063,-741594705,-104227867,178923667,-33696949,580339431,655932622,679017490,-75593191,-1383835115,-463510387,0,0,-2065783421,-1651783421,-486755415,-5e+08,-6e+08,1262287737,0
52,"gyeonggi",96,20010202,0,7,13207438120,2301603808,10269216425,5671130470,15051797,314375353,172718176,68212895,269081436,2042506734,1914822836,0,127683898,8963332085,8097412639,61340600,0,6926195411,6901195411,5631111110,2.5e+07,0,4079643408,0,11835954883,1648423124,9907985262,5963381150,43262276,313362395,156262167,0,9446378,2122994887,1969267967,0,153726920,8822733591,8103954776,118843000,0,6491095906,6466095906,5764444442,2.5e+07,0,4454632572,0,93,95,"same","2001",16,94,94,29,1371483237,653180684,361231163,-292250680,-28210479,1012958,16456009,68212895,259635058,-80488153,-54445131,0,-26043022,140598494,-6542137,-57502400,0,435099505,435099505,-133333332,0,0,-374989164,0
53,"gyeonggi",97,20080930,78,6,6859738630,471712908,6693224258,3662477466,184397552,158090415,157639434,0,-278891399,1028775130,943187548,20758790,85587582,10034376460,9530157739,346880000,0,8458883643,7244379105,5332648695,1214504538,0,2604267947,0,7570750562,477437525,6914469482,3465553460,124474798,180592251,178052542,0,122726102,836181704,741337176,19766090,94844528,10294749851,9796591822,348080000,0,8247772209,7000122291,3128973415,1247649918,0,2883159346,0,94,90,"same","2008",9,92,170,30,-711011932,-5724617,-221245224,196924006,59922754,-22501836,-20413108,0,-401617501,192593426,201850372,992700,-9256946,-260373391,-266434083,-1200000,0,211111434,244256814,2203675280,-33145380,0,-278891399,0
56,"jeonnam",33,20040730,584,6,21793838320,904780292,18951985137,12781902660,610626714,1202445218,169551969,371350880,973903507,17696396607,17606214680,0,90181927,20178273850,19972987375,99300620,0,12276250672,6924378849,5e+09,5351871823,0,25598419785,0,21798408033,842205893,17932268744,12006426230,263512591,1914171812,256108672,400375710,972898465,16601464461,16534795174,3.38e+08,66669287,19374524387,19088379056,213887420,0,11473586047,7023572554,5e+09,4450013493,0,24502402801,0,323,323,"same","2004",13,323,907,31,-4569713,62574399,1019716393,775476430,347114123,-711726594,-86556703,-29024830,1005042,1094932146,1071419506,-3.38e+08,23512640,803749463,884608319,-114586800,0,802664625,-99193705,0,901858330,0,1096016984,0
